nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT00311402,PHASE3,1295,ACTUAL,2006-04,2009-03,INDUSTRY,1,151,1
NCT04473053,PHASE1|PHASE2,71,ACTUAL,2020-07-03,2025-04-30,OTHER,1,1,1
NCT02891837,PHASE3,189,ACTUAL,2016-08,2019-06,INDUSTRY,1,29,4
NCT04532372,PHASE1|PHASE2,2,ACTUAL,2021-01-07,2021-08-26,OTHER,3,1,1
NCT01626872,PHASE2|PHASE3,254,ACTUAL,2012-09,2016-10,INDUSTRY,1,3,3
NCT02288572,PHASE2,16,ACTUAL,2013-05,2014-03,OTHER,1,0,0
NCT02945553,PHASE1|PHASE2,25,ACTUAL,2016-10,2019-09,OTHER,1,1,1
NCT02841137,PHASE2,80,ACTUAL,2016-06,2017-08-02,INDUSTRY,1,1,1
NCT01943045,PHASE2,81,ACTUAL,2013-09,2014-09,INDUSTRY,1,9,2
NCT00328939,PHASE3,240,,2004-05,,INDUSTRY,3,7,1
NCT01262677,PHASE3,325,ACTUAL,2011-02-17,2012-07-31,INDUSTRY,2,82,18
NCT05366101,PHASE2|PHASE3,168,ACTUAL,2019-04-01,2022-02-28,OTHER,1,1,1
NCT02256501,PHASE1|PHASE2,30,ACTUAL,2013-06,2016-03,OTHER_GOV,1,1,1
NCT01390012,PHASE3,30,ACTUAL,2011-08,2012-10,OTHER,1,1,1
NCT00862381,PHASE3,106,ACTUAL,2008-10,2010-07,OTHER,1,2,1
NCT02933281,PHASE1|PHASE2,144,ACTUAL,2018-05-14,2021-09-05,NETWORK,1,1,1
NCT02866981,PHASE2,33,ACTUAL,2014-02,2017-12-01,OTHER,2,1,1
NCT00325819,PHASE3,374,ACTUAL,2006-05,2009-09,OTHER,1,1,1
NCT02080819,PHASE2,131,ACTUAL,2014-02,2017-01-21,OTHER,1,1,1
NCT04592419,PHASE3,568,ACTUAL,2020-09-25,2022-06-10,INDUSTRY,2,141,12
